text,label,clean_text,predicted
"Tolong sistem kurasinya di benerin lagi min, kalo bisa beres yg sekarang jangan lama2 langsung buka registrasi. Gw 2x daftar gak lolos mulu perkara gacha, emang gk ada pity apa.",negatif,tolong sistem kuras benerin min beres sekarang jangan lama langsung buka registrasi x daftar lolos mulu perkara gacha gk pity apa,negatif
"Yuk, bisa yuk di improve lagi Nanti circle pada kabur repot.",negatif,yuk yuk improve nanti circle kabur repot,negatif
"Pls pls pls ada rules batas orng yg ada di belakang meja, circle aku ada di foto poster ujung kanan bwh pas bgt blkng2an sm circle 2 meja yg isinya sampe 14 orng lebih dan ngalangin jalan keluar di area dlm thank you.",negatif,pls pls pls rules batas orng belakang meja circle aku foto poster ujung kanan bwh blkngan sm circle meja isi sampe orng ngalangin jalan keluar area dlm thank you,negatif
Comifuro21 keren banget! Booth-nya rapi dan kreatif.,positif,comifuro keren boothnya rapi kreatif,positif
"Event terbaik sepanjang tahun, gak nyesel datang!",positif,event baik panjang tahun nyesel datang,positif
"Panitianya ramah, suasana meriah, pokoknya worth it!",positif,panitia ramah suasana riah pokok worth it,positif
"Karakter cosplay-nya keren-keren, kualitas tinggi!",positif,karakter cosplaynya kerenkeren kualitas tinggi,positif
Comifuro21 tahun ini lebih rame dari tahun lalu!,positif,comifuro tahun rame tahun lalu,positif
"Lokasinya strategis, gampang dijangkau pake transportasi umum.",positif,lokasi strategis gampang jangkau pake transportasi umum,positif
"Merchandise eksklusifnya bagus banget, langsung ludes!",positif,merchandise eksklusif bagus langsung ludes,positif
"Acara berjalan lancar, gak ada antrean berlebihan.",positif,acara jalan lancar antre lebih,positif
Seneng banget bisa ketemu komunitas sefrekuensi di Comifuro21!,positif,neng ketemu komunitas frekuensi comifuro,positif
"Foto-foto di Comifuro21 aesthetic banget, feed auto glowing!",positif,fotofoto comifuro aesthetic feed auto glowing,positif
Comifuro21 bikin semangat buat bikin konten lagi!,positif,comifuro semangat buat konten,positif
"Guest star-nya keren, interaksinya asik!",positif,guest starnya keren interaksi asik,positif
Booth indie creator-nya kreatif dan unik banget!,positif,booth indie creatornya kreatif unik,positif
Senang lihat event lokal berkualitas kayak gini!,positif,senang lihat event lokal kualitas gin,positif
"Panitia tanggap banget pas ada masalah teknis, top!",positif,panitia tanggap masalah teknis top,positif
Suasana Comifuro21 bener-bener vibes positif terus!,positif,suasana comifuro benerbener vibes positif,positif
"Kualitas print merchandise bagus, gak murahan!",positif,kualitas print merchandise bagus murah,positif
Comifuro21 = surga buat fans anime dan game!,positif,comifuro surga buat fans anime game,positif
"Acara well-organized, gak chaotic kayak event lain.",positif,acara wellorganized chaotic event lain,positif
Kreativitas di Comifuro21 bikin bangga sama komunitas lokal!,positif,kreativitas comifuro bangga sama komunitas lokal,positif
"Comifuro21 mahal banget, tiketnya gak masuk akal.",negatif,comifuro mahal tiket masuk akal,negatif
"Antrean masuk terlalu lama, panas, dan gak jelas.",negatif,antre masuk lama panas jelas,negatif
"Booth banyak yang tutup duluan, kecewa.",negatif,booth banyak yang tutup duluan kecewa,negatif
Lokasinya terlalu sempit buat jumlah pengunjung sebanyak itu.,negatif,lokasi sempit buat jumlah unjung banyak,positif
"Keamanan kurang, banyak yang dorong-dorongan.",negatif,aman kurang banyak yang dorongdorongan,negatif
"Merchandise cepet abis, gak sempet beli apa-apa.",negatif,merchandise cepet abis sempet beli apaapa,negatif
"Kualitas guest star biasa aja, gak worth it.",negatif,kualitas guest star biasa worth it,negatif
Toilet kotor dan gak cukup jumlahnya.,negatif,toilet kotor cukup jumlah,positif
"Panitia kelihatan gak siap, acara jadi kacau.",negatif,panitia lihat siap acara kacau,negatif
Comifuro21 tahun ini turun kualitasnya.,negatif,comifuro tahun turun kualitas,positif
"Terlalu ramai, gak bisa nikmatin booth-nya.",negatif,ramai nikmatin boothnya,negatif
Harga makanan di dalam mahal banget!,negatif,harga makan mahal,negatif
"Tiket sold out terlalu cepat, sistem booking-nya jelek.",negatif,tiket sold out cepat sistem bookingnya jelek,negatif
"Booth sponsor dominan, indie creator kesulitan dapat spot.",negatif,booth sponsor dominan indie creator sulit dapat spot,negatif
"AC kurang, panas banget di dalam hall.",negatif,ac kurang panas hall,negatif
"Event overrated, gak sesuai ekspektasi.",negatif,event overrated sesuai ekspektasi,negatif
Kurang informasi jelas soal jadwal dan lokasi booth.,negatif,kurang informasi jelas soal jadwal lokasi booth,negatif
"Gak ada tempat duduk, capek banget keliling seharian.",negatif,tempat duduk capek keliling hari,positif
"Kamera gak boleh masuk, padahal pengen foto cosplay.",negatif,kamera boleh masuk padahal ken foto cosplay,negatif
"Security kasar, bikin suasana jadi gak nyaman.",negatif,security kasar suasana nyaman,negatif
"Comifuro21 terlalu komersial, hilang esensi komunitasnya.",negatif,comifuro komersial hilang esensi komunitas,negatif
Keren banget Comifuro21! Pertama kali datang dan langsung jatuh cinta.,positif,keren comifuro pertama kali datang langsung jatuh cinta,positif
"Booth game lokal kreatif banget, support terus!",positif,booth game lokal kreatif support,positif
Seneng lihat banyak anak muda berkarya di sini.,positif,neng lihat banyak anak muda karya sini,positif
"Panitia fast respon, acara jadi lancar.",positif,panitia fast respon acara lancar,positif
Comifuro21 jadi ajang reuni komunitas yang seru!,positif,comifuro ajang reuni komunitas yang seru,positif
"Kualitas eventnya internasional, gak kalah sama Jepang!",positif,kualitas eventnya internasional kalah sama jepang,positif
Semangat bikin cosplay muncul lagi gara-gara Comifuro21!,positif,semangat cosplay muncul garagara comifuro,positif
"Booth komik indie-nya keren, langsung beli banyak!",positif,booth komik indienya keren langsung beli banyak,positif
"Event-nya rapi, bersih, dan teratur. Respect!",positif,eventnya rapi bersih atur respect,positif
Suasana Comifuro21 bener-bener wholesome.,positif,suasana comifuro benerbener wholesome,positif
Comifuro21 jadi highlight tahun ini buat aku!,positif,comifuro highlight tahun buat aku,positif
Keren lihat kolaborasi antar komunitas di sini!,positif,keren lihat kolaborasi antar komunitas sini,positif
"Dari parkir sampe keluar, semuanya terorganisir.",positif,parkir sampe keluar semua organisir,positif
Booth foto area-nya aesthetic banget!,positif,booth foto area aesthetic,positif
Seneng banget bisa ketemu idol lokal di sini!,positif,neng ketemu idol lokal sini,positif
Comifuro21 = bukti kreativitas Indonesia masih hidup!,positif,comifuro bukti kreativitas indonesia hidup,positif
"Acara ramah buat pemula, gak intimidating.",positif,acara ramah buat mula intimidating,positif
Kualitas sound system dan lighting-nya bagus!,positif,kualitas sound system lightingnya bagus,positif
"Booth edukasi juga ada, keren banget!",positif,booth edukasi keren,positif
"Semua panitia pakai seragam rapi, profesional!",positif,semua panitia pakai seragam rapi profesional,positif
Comifuro21 bikin aku makin cinta budaya pop Indonesia!,positif,comifuro aku makin cinta budaya pop indonesia,positif
Tahun depan pasti datang lagi!,positif,tahun depan pasti datang,positif
"Tiket mahal, tapi pengalaman di dalam gak worth it.",negatif,tiket mahal tapi alam worth it,negatif
"Kurang petunjuk arah, bingung cari booth tertentu.",negatif,kurang tunjuk arah bingung cari booth tentu,negatif
"Booth utama penuh terus, gak bisa lihat apa-apa.",negatif,booth utama penuh lihat apaapa,negatif
"Kurang tempat istirahat, capek banget jalan terus.",negatif,kurang tempat istirahat capek jalan,negatif
"Keamanan gak merata, ada area yang gak dijaga.",negatif,aman rata area yang jaga,negatif
"Sistem antrean online-nya error, bikin kacau.",negatif,sistem antre onlinenya error kacau,negatif
"Booth makanan kurang bervariasi, pada mahal.",negatif,booth makan kurang variasi mahal,negatif
"Kurang sosialisasi soal aturan event, bikin bingung.",negatif,kurang sosialisasi soal atur event bingung,negatif
"Comifuro21 terlalu fokus pada cosplayer, pengunjung biasa diabaikan.",negatif,comifuro fokus cosplayer unjung biasa abai,negatif
Kualitas merchandise beda jauh sama tahun lalu.,negatif,kualitas merchandise beda jauh sama tahun lalu,negatif
"AC gak nyala di area utama, panas banget.",negatif,ac nyala area utama panas,negatif
"Kurang tempat sampah, jadi berantakan.",negatif,kurang tempat sampah beranta,negatif
"Panitia kurang ramah, sikapnya dingin.",negatif,panitia kurang ramah sikap dingin,negatif
Booth indie creator dikasih tempat pinggir terus.,negatif,booth indie creator kasih tempat pinggir,negatif
"Event terlalu padat, gak bisa foto dengan tenang.",negatif,event padat foto tenang,negatif
Kurang informasi soal jadwal guest star.,negatif,kurang informasi soal jadwal guest star,negatif
"Sistem tiket online-nya ribet, gak user-friendly.",negatif,sistem tiket onlinenya ribet userfriendly,negatif
"Kurang hiburan di luar booth, boring kalau capek.",negatif,kurang hibur luar booth boring capek,negatif
"Comifuro21 sekarang jadi gengsi doang, konten kurang.",negatif,comifuro sekarang gengsi konten kurang,positif
Keren banget lihat kolaborasi antar komunitas!,positif,keren lihat kolaborasi antar komunitas,positif
"Booth VR-nya seru, pengalaman baru!",positif,booth vrnya seru alam baru,positif
"Panitia sigap tangani kecelakaan kecil, salut!",positif,panitia sigap tangan celaka kecil salut,positif
Comifuro21 bikin aku pengen jadi panitia event juga!,positif,comifuro aku ken panitia event,positif
"Kualitas eventnya naik tiap tahun, konsisten!",positif,kualitas eventnya naik tiap tahun konsisten,positif
"Booth board game-nya seru, main sampe lupa waktu!",positif,booth board gamenya seru main sampe lupa,positif
Suasana Comifuro21 bikin betah berjam-jam!,positif,suasana comifuro betah berjamjam,positif
Keren lihat karya digital art lokal di sini!,positif,keren lihat karya digital art lokal sini,positif
"Booth edukasi soal konservasi juga ada, unexpected tapi bagus!",positif,booth edukasi soal konservasi unexpected tapi bagus,positif
Respect buat panitia yang tahan panas seharian!,positif,respect buat panitia yang tahan panas hari,positif
Comifuro21 jadi tempat belajar banyak hal baru!,positif,comifuro tempat ajar banyak hal baru,positif
Kolaborasi antara seni dan teknologi di sini keren banget!,positif,kolaborasi antara seni teknologi sini keren,positif
Booth interaktifnya bikin pengalaman jadi lebih memorable!,positif,booth interaktif alam memorable,positif
Seneng banget bisa support creator lokal langsung!,positif,neng support creator lokal langsung,positif
Comifuro21 = bukti bahwa komunitas kreatif Indonesia masih hidup!,positif,comifuro bukti bahwa komunitas kreatif indonesia hidup,positif
Acara well-planned dari awal sampai akhir!,positif,acara wellplanned awal sampai akhir,positif
Kualitas foto area-nya profesional banget!,positif,kualitas foto area profesional,positif
"Booth charity-nya juga ada, keren banget!",positif,booth charitynya keren,positif
Comifuro21 bikin aku makin bangga jadi bagian dari komunitas ini!,positif,comifuro aku makin bangga bagi komunitas,positif
Tahun depan bakal bawa teman-teman semua!,positif,tahun depan bakal bawa temanteman semua,positif
